Peptide ID	Basal1	Basal2	Basal3	Basal4	Insulin1	Insulin2	Insulin3	Insulin4
Q3UQN2_peptide1	1019106.563	1128107.845	1160469.461	1427475.314	NA	936985.2205	1457041.439	1258211.217
Q99K85_peptide1	7870452	NA	NA	NA	8162576.628	NA	NA	NA
Q99LP6_peptide1	64750122.81	71251697.78	74539175.65	64309925.82	10219323.61	58447905.07	72264974.2	57983245.02
P50136_peptide1	4717167.5	4767556.828	5896227.017	5592348.386	5025887.451	5695269.729	6026026.241	6553765.252
Q68FD5_peptide2	2262869.5	3400860.57	2961196.986	2578435.944	2428279.079	2254513.782	2697810.356	2592680.201
Q8R361_peptide1	15438350	18185391.42	18051144.91	30663760.68	15631214.21	15466215.09	17426615.95	24313592.22
Q8BJ56_peptide1	87703504	72253077.82	80919383.41	34228620.79	34132955.79	35201614.88	39377996.74	36824710.44
Q9Z1K5_peptide1	1021151.813	1090189.403	676001.1197	NA	1912831.454	NA	930488.7765	2527355.167
Q61481_peptide1	4181901	5415247.952	6555605.247	6745735.542	4036395.444	5134791.903	4729887.997	6653702.351
Q8K4B0_peptide1	156918784	234929029.4	258402466.1	319465851.8	250035130	201909383.4	256649093.7	289359896.8
G3XA57; Q9D620_peptide1	NA	7236969.221	NA	7052021.452	NA	7438057.73	NA	5789871.357
G5E829_peptide2	16955017.13	27550634.08	33033749.96	36783882.15	18947379.79	21947128.07	25084905.78	15657301.09
Q6ZQ89_peptide1	1503131	3895133.538	4882561.857	5823661.493	2139620.982	NA	5591732.92	4397708.779
P41361_peptide1	4747352	5461590.605	8805415.984	7762008.26	4094532.205	4680738.718	3721578.119	1332040.34
P28660_peptide1	27729634	34463975.21	40627740.49	38010860.16	35096533.88	27980408.73	34297290.66	32651560.18
Q3TXS7_peptide1	16759112	18916212.46	44966824.48	44205344.26	22625513.35	22655217.02	26632088.16	26903368.35
Q9D0F3_peptide1	195901950	196979293.9	239799548.1	220001722.5	257420589.8	213406790.5	261613139.6	243042160.6
B1AYB6_peptide1	9033756	7641179.482	8309523.281	8926650.845	11143371.64	9278835.949	11316461.63	11453641.72
Q9Z191_peptide1	33449246	35805250.51	34505199.89	34454663.02	30139390.35	30517946.97	33629198.43	36276308.11
Q9DC22_peptide1	4935368.5	7264218.837	9573376.675	NA	NA	6638975.588	7514036.119	NA
Q9D074_peptide1	3743880	7327265.911	6254370.945	4363410.671	4796301.699	9043810.798	6891403.241	16426624.38
Q921Z5_peptide1	8490846	9304466.128	10796920.89	9654972.631	8586903.269	9335582.099	8368209.859	11137359.35
Q9CXZ1_peptide1	18709617.06	36983988.74	48690644.51	NA	49790174.35	24218189.12	15519371.41	NA
P50544_peptide1	1007175.875	1351611.979	1273807.689	1459754.471	837511.9014	NA	990031.8417	1604181.768
P37040_peptide1	1861279.375	2195251.017	1709772.323	2142058.233	1684345.579	1961341.516	1913620.227	2110065.548
Q3ULW8_peptide1	252873971	385153868.5	501895037.9	526309268.2	341530319.3	303681299.2	454924002.6	516771621.9
Q91YD3_peptide1	1720518.625	1751625.955	2366004.957	2734667.707	805056.0155	1384962.972	1912987.527	2046965.893
P23949_peptide1	16962734	23607701.51	7808572.551	9096962.942	17153488.16	19457628.59	7616940.267	6841739.768
B2RWS6_peptide1	4990023	NA	7500477.838	6946086.611	NA	NA	5854574.505	5353078.513
P14115_peptide1	2295780.5	3927328.622	3671402.277	3470548.582	3119204.498	3534019.442	3778244.38	2961015.046
Q60592_peptide1	13554590	13035496.01	NA	19807994.67	21127136.59	13036968.07	21066027.94	20050617.19
Q3U3T8_peptide1	3331210.5	4174493.968	4655371.451	3779425.989	3684730.966	4736343.989	4516741.355	3841535.26
Q9CQU5_peptide1	4662226.375	6237204.69	4702059.524	5789543.891	7340127.448	5439797.206	6231921.729	5687897.266
Q7TPS5_peptide1	6728378.5	8701422.814	6513867.526	7014570.109	25982021.79	27873971.68	30122481.71	30171084.65
Q7TPS5_peptide2	NA	NA	NA	NA	6533752.602	12169864.61	7699402.386	7482195.262
P63017_peptide2	7448560	10089017.15	11385834.38	11830523.88	8485688.598	10373942.71	10940305.45	10898318.5
A8Y5H7_peptide1	NA	NA	1410807.785	NA	2784387.969	2737807.949	3577318.43	1285912.878
P37913_peptide1	11038866	10169415.19	7365541.748	6984711.715	8293386.855	9576882.083	6331372.694	9631371.483
Q8C4X2_peptide1	5206545.75	3463352.317	6996174.667	6043014.624	6865567.736	4468927.872	6236215.304	8652303.146
Q91YD3_peptide2	NA	1439401.208	NA	NA	NA	2530086.895	NA	NA
Q9D1Q1_peptide1	671862.8125	2567336.266	2509205.379	4035862.703	NA	2808069.662	1628605.595	3163595.357
Q8C180_peptide1	8938542.406	11079959.44	8273171.209	8280934.734	655231.7648	6089456.21	7395646.368	7266131.98
P56564_peptide1	66985414	81487733.86	103276559.7	87891857.68	73792177.13	88114509	72650505.53	80062015.24
Q3UYI5_peptide1	1951092.25	3116959.978	2480890.869	3911727.717	NA	605302.0947	NA	NA
Q3UYI5_peptide2	1165544.25	NA	NA	NA	NA	1752204.386	1908043.217	6591103.356
Q3UYI5_peptide3	435274.1563	572121.6393	1163373.11	NA	8059868.615	11088864.53	10036537.68	10200306.81
Q9CRD0_peptide1	1781719.875	2908922.817	2515702.228	3051022.319	1849309.432	1783836.728	2486173.209	1769241.355
Q8C1S0_peptide1	80689388	58272835.41	67537222.61	83722057.6	64635029.52	60462780.87	57190780.98	56851879.03
P26618_peptide1	NA	1721465.578	NA	2698454.961	NA	NA	NA	NA
P70290_peptide1	NA	NA	NA	6371643.303	NA	6951940.953	13311743.75	12696109.2
P70290_peptide2	NA	2244921.466	NA	4611430.185	NA	NA	NA	NA
Q61103_peptide1	1795926.375	8799282.634	6740444.91	18955870.84	NA	8864827.416	6770194.279	11466684.34
Q9ERU9_peptide1	78789755	108914343.4	125954136.6	124043801.8	52718831.37	72210211.11	110943451.2	120096284
Q9D4H9-2_peptide3	2542947.75	1404626.893	NA	NA	NA	NA	NA	NA
Q9QYR6_peptide1	19807923.25	14342284.23	19807861.88	18308110.43	15422046.24	14814799.75	15108944.75	17925778.15
P20029_peptide1	15470083.88	19218730.79	20532943.54	18515016.84	20780010.98	23134301.3	20567286.8	19868817.65
Q571K4_peptide1	636327.8125	871358.9387	726880.8316	1025013.974	2897274.681	5300001.068	3923259.038	4003437.63
P49312_peptide1	14563301.63	23381319.26	18880666.09	21001172.77	19000470.87	27392738.8	24654080.36	25211557.3
Q64727_peptide1	1732812.625	1763400.959	2280822.15	5480715.291	1873485.196	NA	NA	5230407.294
Q80U22_peptide1	2726458.5	1014903.061	1521711.03	971327.3606	2506495.905	1753296.588	NA	1093344.67
P13595_peptide1	21510382	24045002.97	20415537.02	23909095.62	11765249.95	12505238.41	13691247.78	15009656.87
Q8BL97; P84104_peptide1	2171458.75	2392597.589	2243422.848	2405874.779	2415057.641	1929019.43	2250160.848	1971256.767
Q9DB70_peptide1	76442763	67651102.95	59245666.81	61004878.19	77101492.6	61499253.59	46747312.54	68653989.1
P59997_peptide1	46563894.5	68396421.61	72951903.62	49425057.05	49272410.07	67563674.9	52527101.86	46680682.13
A2BH40_peptide1	12968075.75	17871240.16	8813511.042	8535573.166	14169667.45	13625348.74	9921785.071	5055721.357
Q9D883_peptide1	1127340.5	1358838.795	1199590.96	934718.0377	1047784.775	NA	919076.2763	980509.2936
Q9D883_peptide2	6844242.813	10559599.04	12295689.95	11862676.01	14888565.01	13469389.1	16864718.62	16688813.36
P29341_peptide1	NA	NA	NA	NA	NA	NA	NA	NA
Q9R0L6_peptide1	2035556.625	6987420.197	4646424.095	2824516.399	3489600.172	5253531.099	3549731.029	2889966.301
Q8BX70_peptide1	1481605.375	1704680.436	2415426.418	1905301.592	1993328.09	2287230.69	1949085.949	NA
Q8BX70_peptide2	NA	1519321.707	1900252.977	2296372.548	NA	2055506.006	2396685.886	1916029.378
Q91WG2_peptide1	NA	5957790.548	5638445.613	8378343.898	6807973.868	9603535.568	10500810.01	13015798
Q9D2C2_peptide1	4080679.125	7096129.116	7153500.506	8405931.851	4545609.866	4741900.125	5100397.569	5401068.541
Q9D2C2_peptide2	17817401.5	21688919.3	23378285.55	19552884.08	11977593.2	21075312.53	15825373.8	14667581.36
Q3TEI4_peptide1	8265047.5	11412324.12	13918631.63	13783730.45	22379172.25	25410398.08	26505412.72	27589740.7
Q8K0V2_peptide1	27558868.75	26905060.08	22079708.2	24471124.86	33943049.22	18344328.85	21277173.02	21389925.24
Q9R0L6_peptide2	7415337	6108587.339	6703637.075	7429400.607	33594098.9	27121996.44	30918331.97	34617675.71
